vy:0,vw:0,vy_off:0,vw_off:-0.103627,pf:0,preal:0,dy:-3,dy2:-3
vy:0.00706448,vw:0.0871146,vy_off:0.00706448,vw_off:-0.0165124,pf:120.321,preal:120.243,dy:0.000849246,dy2:0.000840445
vy:0.0082346,vw:0.122021,vy_off:0.0082346,vw_off:0.0183942,pf:120.894,preal:120.592,dy:0.00033099,dy2:0.000824043
vy:0.00168266,vw:0.156928,vy_off:0.00168266,vw_off:0.0533008,pf:120.894,preal:121.042,dy:0.000981041,dy2:0.00112647
vy:0.0113169,vw:0.122021,vy_off:0.0113169,vw_off:0.0183942,pf:121.467,preal:121.391,dy:0.000990398,dy2:0.00104798
vy:0.00874584,vw:0.114384,vy_off:0.00874584,vw_off:0.0107567,pf:121.467,preal:121.719,dy:0.000802209,dy2:0.00127028
vy:0.0072012,vw:0.0794771,vy_off:0.0072012,vw_off:-0.0241499,pf:122.04,preal:121.947,dy:0.000861923,dy2:0.000851412
vy:0.00834881,vw:0.114384,vy_off:0.00834881,vw_off:0.0107567,pf:122.613,preal:122.274,dy:0.000180155,dy2:0.000732947
vy:-0.00016119,vw:0.14929,vy_off:-0.00016119,vw_off:0.0456633,pf:122.613,preal:122.702,dy:0.000886446,dy2:0.000974236
vy:0.0106941,vw:0.114384,vy_off:0.0106941,vw_off:0.0107567,pf:123.186,preal:123.03,dy:0.000597319,dy2:0.000715982
vy:0.0041971,vw:0.133379,vy_off:0.0041971,vw_off:0.0297517,pf:123.186,preal:123.412,dy:0.000677759,dy2:0.00109758
vy:0.00697313,vw:0.0984721,vy_off:0.00697313,vw_off:-0.00515485,pf:123.759,preal:123.694,dy:0.000771507,dy2:0.000764164
vy:0.00732613,vw:0.118679,vy_off:0.00732613,vw_off:0.0150519,pf:124.332,preal:124.034,dy:0.000316881,dy2:0.00080311
vy:0.00176621,vw:0.153585,vy_off:0.00176621,vw_off:0.0499584,pf:124.332,preal:124.474,dy:0.000946692,dy2:0.00108677
vy:0.010881,vw:0.118679,vy_off:0.010881,vw_off:0.0150519,pf:124.905,preal:124.814,dy:0.000920858,dy2:0.000989865
vy:0.00803184,vw:0.118491,vy_off:0.00803184,vw_off:0.0148637,pf:124.905,preal:125.153,dy:0.00077699,dy2:0.00123902
vy:0.0070971,vw:0.0835841,vy_off:0.0070971,vw_off:-0.0200429,pf:125.478,preal:125.393,dy:0.000856402,dy2:0.000846755
vy:0.00831148,vw:0.118491,vy_off:0.00831148,vw_off:0.0148637,pf:126.051,preal:125.732,dy:0.000262769,dy2:0.000782361
vy:0.000841684,vw:0.153397,vy_off:0.000841684,vw_off:0.0497703,pf:126.051,preal:126.172,dy:0.000937702,dy2:0.00105706
vy:0.0110305,vw:0.118491,vy_off:0.0110305,vw_off:0.0148637,pf:126.624,preal:126.511,dy:0.00081042,dy2:0.000895786
vy:0.00666346,vw:0.123076,vy_off:0.00666346,vw_off:0.0194491,pf:126.624,preal:126.864,dy:0.000744769,dy2:0.00119115
vy:0.00709117,vw:0.0881695,vy_off:0.00709117,vw_off:-0.0154575,pf:127.197,preal:127.116,dy:0.000820239,dy2:0.00081108
vy:0.00787868,vw:0.123076,vy_off:0.00787868,vw_off:0.0194491,pf:127.77,preal:127.469,dy:0.0003242,dy2:0.000814617
vy:0.00170023,vw:0.157983,vy_off:0.00170023,vw_off:0.0543557,pf:127.77,preal:127.922,dy:0.000977414,dy2:0.00112735
vy:0.0112685,vw:0.123076,vy_off:0.0112685,vw_off:0.0194491,pf:128.343,preal:128.274,dy:0.00101735,dy2:0.00106925
vy:0.00908315,vw:0.11256,vy_off:0.00908315,vw_off:0.00893324,pf:128.343,preal:128.597,dy:0.000807689,dy2:0.00128011
vy:0.00717308,vw:0.0776537,vy_off:0.00717308,vw_off:-0.0259733,pf:128.916,preal:128.819,dy:0.000864319,dy2:0.000853262
vy:0.00838543,vw:0.11256,vy_off:0.00838543,vw_off:0.00893324,pf:129.488,preal:129.141,dy:0.000144123,dy2:0.000709904
vy:-0.000604255,vw:0.147467,vy_off:-0.000604255,vw_off:0.0438398,pf:129.488,preal:129.564,dy:0.000863205,dy2:0.000937742
vy:0.0105383,vw:0.11256,vy_off:0.0105383,vw_off:0.00893324,pf:130.061,preal:129.886,dy:0.000504246,dy2:0.000636867
vy:0.00312237,vw:0.137834,vy_off:0.00312237,vw_off:0.0342065,pf:130.061,preal:130.281,dy:0.000647344,dy2:0.00105633
